site,window_start,Ion,Concentration
BQ1,1992-12-08,nh4_ugl,NA
BQ1,1992-12-08,k_mgl,1.0822222222222222
BQ1,1992-12-08,mg_mgl,2.897777777777778
BQ1,1992-12-08,ca_mgl,4.845555555555555
BQ1,1993-02-09,no3_ugl,125.33333333333333
BQ1,1993-02-09,nh4_ugl,NA
BQ1,1993-02-09,k_mgl,1.12
BQ1,1993-02-09,mg_mgl,3.4466666666666668
BQ1,1993-02-09,ca_mgl,5.72
BQ1,1993-04-13,no3_ugl,69.11111111111111
BQ1,1993-04-13,nh4_ugl,NA
BQ1,1993-04-13,k_mgl,1.22
BQ1,1993-04-13,mg_mgl,3.4755555555555557
BQ1,1993-04-13,ca_mgl,5.415555555555556
BQ1,1993-06-15,no3_ugl,39.2
BQ1,1993-06-15,nh4_ugl,NA
BQ1,1993-06-15,k_mgl,1.018888888888889
BQ1,1993-06-15,mg_mgl,2.9566666666666666
BQ1,1993-06-15,ca_mgl,5.483333333333333
BQ1,1993-08-17,no3_ugl,43.111111111111114
BQ1,1993-08-17,nh4_ugl,NA
BQ1,1993-08-17,k_mgl,1.0933333333333333
BQ1,1993-08-17,mg_mgl,3.281111111111111
BQ1,1993-08-17,ca_mgl,5.704444444444444
BQ1,1993-10-19,no3_ugl,12.444444444444445
BQ1,1993-10-19,nh4_ugl,NA
BQ1,1993-10-19,k_mgl,1.1277777777777778
BQ1,1993-10-19,mg_mgl,3.2733333333333334
BQ1,1993-10-19,ca_mgl,5.831111111111111
BQ1,1993-12-21,no3_ugl,25.333333333333332
BQ1,1993-12-21,nh4_ugl,NA
BQ1,1993-12-21,k_mgl,1.0355555555555556
BQ1,1993-12-21,mg_mgl,2.8844444444444446
BQ1,1993-12-21,ca_mgl,5.3133333333333335
BQ1,1994-02-22,no3_ugl,86.75
BQ1,1994-02-22,nh4_ugl,NA
BQ1,1994-02-22,k_mgl,1.0655555555555556
BQ1,1994-02-22,mg_mgl,3.3433333333333333
BQ1,1994-02-22,ca_mgl,5.968888888888889
